district_name,rep_incumbent,dem_incumbent,obama_2012_margin,dem_2014_margin,hillary_2016_margin,dem_2016_margin,elasticity,rep_running,dem_running,dinc14,rinc14,dinc16,rinc16
MI-05,0,1,0.0935,0.2108,0.011,0.0985,1.24,TRUE,TRUE,1,0,1,0
MI-06,1,0,-0.0267,-0.051,-0.0557,-0.1225,1.06,TRUE,TRUE,0,1,0,1
MI-07,1,0,-0.0353,-0.1407,-0.0556,-0.1081,1.12,TRUE,TRUE,0,1,0,1
MI-08,1,0,-0.0348,-0.0452,-0.1098,-0.0934,1.12,TRUE,TRUE,0,0,0,1
MI-09,0,0,0.0576,0.064,-0.0067,0.0521,1.07,TRUE,TRUE,1,0,1,0
MI-10,1,0,-0.0782,-0.0486,-0.1045,-0.0458,1.11,TRUE,TRUE,0,1,0,0
MI-11,0,0,-0.0469,-0.0008,-0.0539,-0.0151,0.99,TRUE,TRUE,0,0,0,1
MI-12,0,1,0.149,0.127,0.0754,0.0952,1.02,TRUE,TRUE,0,0,1,0
MI-13,0,0,0.3369,0.2951,0.2797,0.2041,0.94,FALSE,TRUE,1,0,1,0
MI-14,0,1,0.3082,0.2893,0.2211,0.2442,0.93,TRUE,TRUE,0,0,1,0
MN-01,0,1,-0.0094,0.072,-0.0935,-0.0022,1.03,TRUE,TRUE,1,0,1,0
MN-02,1,0,-0.0191,-0.0606,-0.022,-0.0154,1.02,TRUE,TRUE,0,1,1,0
MN-03,1,0,-0.0146,-0.0921,0.0433,-0.0744,0.98,TRUE,TRUE,0,1,0,1
MN-04,0,1,0.1167,0.1799,0.1556,0.1212,1.09,TRUE,TRUE,1,0,1,0
MN-05,0,0,0.2355,0.2763,0.2846,0.2504,0.91,TRUE,TRUE,1,0,1,0
MN-06,1,0,-0.0954,-0.065,-0.1403,-0.1623,0.94,TRUE,TRUE,0,0,1,0
MN-07,0,1,-0.0707,0.072,-0.1778,0.0199,1.19,TRUE,TRUE,1,0,1,0
MN-08,0,0,0.011,0.0368,-0.0917,-0.0027,1.1,TRUE,TRUE,1,0,1,0
MS-01,1,0,-0.1455,-0.1718,-0.1798,-0.2166,0.93,TRUE,TRUE,0,1,0,1
MS-02,0,1,0.1484,N/A,0.1307,0.1915,0.95,FALSE,TRUE,0,0,1,0
MS-03,0,0,-0.1251,-0.182,-0.136,-0.0469,0.8,TRUE,TRUE,0,1,0,1
MS-04,1,0,-0.2039,-0.2123,-0.2222,-0.2062,0.99,TRUE,TRUE,0,1,0,1
MO-01,0,1,0.2891,0.3013,0.2927,0.2851,0.98,TRUE,TRUE,1,0,1,0
MO-02,1,0,-0.0993,-0.1333,-0.0654,-0.1141,0.95,TRUE,TRUE,0,1,0,1
MO-03,1,0,-0.1516,-0.1862,-0.2159,-0.214,0.94,TRUE,TRUE,0,1,0,1
MO-04,1,0,-0.1467,-0.1914,-0.2014,-0.2146,0.77,TRUE,TRUE,0,1,0,1
MO-05,0,1,0.0795,0.0638,0.0602,0.1008,1.06,TRUE,TRUE,1,0,1,0
MO-06,1,0,-0.1325,-0.1635,-0.1767,-0.2121,1,TRUE,TRUE,0,1,0,1
MO-07,1,0,-0.2101,-0.1585,-0.2514,-0.2172,0.85,TRUE,TRUE,0,1,0,1
MO-08,1,0,-0.1928,-0.2035,-0.2932,-0.2719,1.03,TRUE,TRUE,0,1,0,1
MT-01,1,0,-0.0902,-0.0488,-0.1226,-0.0865,1.06,TRUE,TRUE,0,0,0,1
NE-01,1,0,-0.1016,-0.1655,-0.1281,-0.1937,1.01,TRUE,TRUE,0,1,0,1
NE-02,1,0,-0.055,0.0475,-0.0221,-0.0157,1.05,TRUE,TRUE,0,1,1,0
NE-03,1,0,-0.2396,-0.2245,-0.3111,N/A,0.95,TRUE,TRUE,0,1,0,0
NV-01,0,1,0.1497,0.1296,0.1428,0.177,1.12,TRUE,TRUE,1,0,1,0
NV-02,1,0,-0.0611,-0.1723,-0.0782,-0.1178,0.96,TRUE,TRUE,0,1,0,1
NV-03,0,0,-0.0156,-0.0976,-0.0164,0.0011,0.97,TRUE,TRUE,0,1,0,0
NV-04,0,0,0.0349,0.0148,0.0149,0.0159,1.22,TRUE,TRUE,1,0,0,1
NH-01,0,0,-0.0115,0.0115,-0.0195,0.002,1.19,TRUE,TRUE,1,0,1,0
NH-02,0,1,0.0304,0.0795,-0.0251,0.0177,1.1,TRUE,TRUE,1,0,1,0
NJ-01,0,1,0.1369,0.1225,0.1177,0.1141,1.04,TRUE,TRUE,0,0,1,0
NJ-02,0,0,0.0214,-0.093,-0.0349,-0.1198,1.05,TRUE,TRUE,0,1,0,1
NJ-03,1,0,0.0036,-0.0193,-0.0432,-0.1096,0.96,TRUE,TRUE,0,0,0,1
NJ-04,1,0,-0.0676,-0.1567,-0.0875,-0.161,1.01,TRUE,TRUE,0,1,0,1
NJ-05,0,1,-0.0348,-0.0318,-0.0168,0.0167,1.09,TRUE,TRUE,0,1,0,1
NJ-06,0,1,0.1019,0.1358,0.0695,0.1403,0.99,TRUE,TRUE,1,0,1,0
NJ-07,1,0,-0.051,-0.075,-0.0054,-0.0623,1.03,TRUE,TRUE,0,1,0,1
NJ-08,0,1,0.2705,0.3324,0.2677,0.3006,0.94,TRUE,TRUE,1,0,1,0
NJ-09,0,1,0.1406,0.2242,0.1784,0.2077,1.04,TRUE,TRUE,1,0,1,0
NJ-10,0,1,0.3644,0.4005,0.3579,0.3723,0.93,TRUE,TRUE,1,0,1,0
NJ-11,0,0,-0.0486,-0.0965,-0.0161,-0.1047,1.07,TRUE,TRUE,0,1,0,1
NJ-12,0,1,0.1524,0.1555,0.1599,0.1573,0.92,TRUE,TRUE,1,0,1,0
